route,id,name,address,lat,lng,type,desc,task,imageUrl,taskType,quiz_question,quiz_options,quiz_answer,verification_code
natural_culture,zhongxing_new_village,中興新村,南投縣南投市新市鎮,23.955233,120.687356,"商店,手作,導覽館","中興新村曾為台灣省政府所在地，參考英國新市鎮模式設計，擁有豐富的自然景觀和歷史建築，如巴洛克風格的中興會堂、多條綠色隧道及由舊宿舍改造的文創聚落。","為什麼中興新村會有那麼多筆直、整齊的道路",待補充,quiz,為什麼中興新村會有那麼多筆直、整齊的道路,"模仿歐洲城市風格|方便軍隊快速移動|依照「棋盤式都市規劃」設計的，方便省政府時期的行政機關分布，也讓交通和排水更有秩序。","依照「棋盤式都市規劃」設計的，方便省政府時期的行政機關分布，也讓交通和排水更有秩序。",
natural_culture,jiuzu_cultural_village,九族文化村,南投縣魚池鄉大林村金天巷45號,23.86806,120.94778,"文化,遊玩","台灣原住民文化為主題，全面展現台灣原住民族的建築、影像、美食、音樂、服飾與生活。","九族文化村裡介紹的原住民文化是哪九族?",https://www.nine.com.tw/images/story/story01.jpg,quiz,"九族文化村裡介紹的原住民文化是哪九族?","泰雅、布農、賽夏、鄒、魯凱、排灣、卑南、阿美、和雅美（達悟）族|邵族、噶瑪蘭族、撒奇萊雅族、賽德克族、拉阿魯哇族、卡那卡那富族、平埔族、凱達格蘭族、道卡斯族|排灣、魯凱、卑南、阿美、雅美、邵族、鄒族、泰雅、太魯閣族","泰雅、布農、賽夏、鄒、魯凱、排灣、卑南、阿美、和雅美（達悟）族",
indigenous_culture,jiuzu_cultural_village,九族文化村,南投縣魚池鄉金天巷45號,23.86806,120.94778,遊玩,"台灣原住民文化為主題，全面展現台灣原住民族的建築、影像、美食、音樂、服飾與生活。","九族文化村早期只展示九個原住民族，但目前台灣官方認定共有幾個原住民族？",https://www.nine.com.tw/images/story/story01.jpg,quiz,"九族文化村早期只展示九個原住民族，但目前台灣官方認定共有幾個原住民族？","9族|12族|16族",16族,
natural_culture,cien_pagoda,慈恩塔,南投縣魚池鄉環潭公路,23.841972,120.920806,"文化,生態景觀","由蔣介石為紀念母親王太夫人而建，位於海拔954公尺的山上，塔高46公尺，塔頂正好為海拔1000公尺。登塔可360度俯瞰日月潭全景。","慈恩塔是為了紀念誰而建",待補充,quiz,"慈恩塔是為了紀念誰而建","蔣介石的妻子宋美齡|王太夫人|孫中山的母親楊氏",王太夫人,
natural_culture,sun_moon_lake,日月潭,南投縣魚池鄉,23.867,120.917,生態景觀,"台灣最著名的風景區之一，以湖光山色、原住民文化和豐富的自然生態聞名。可以搭船遊湖、騎自行車環湖，或搭乘纜車從空中欣賞美景。","日月潭的命名由來？",待補充,quiz,"日月潭的命名由來？","湖水東邊清澈如鏡，西邊混濁如泥|東面像太陽，西面像月亮|紀念一位名為「日月」的邵族英雄","東面像太陽，西面像月亮",
natural_culture,wang_yingxin_museum,王英信美術館,南投縣草屯鎮雙冬里中正路25號,23.988536,120.807058,"導覽館,生態景觀","由雕塑家王英信親手設計，參考日本箱根雕刻之森美術館，將上百件大型雕塑作品展示於戶外，讓藝術與自然融為一體。","美術館是誰親自設計建造的?",待補充,quiz,"美術館是誰親自設計建造的?","王英信|安藤忠雄|貝聿銘",王英信,
natural_culture,sunlinksea,杉林溪森林生態渡假園區,南投縣竹山鎮溪山路6號,23.639722,120.792222,生態景觀,"海拔約1600公尺，氣候涼爽，是知名避暑勝地。園區內有松瀧岩瀑布、青龍瀑布、天地眼等自然景觀，以及四季更迭的花卉。","杉林溪海拔大約多少？",待補充,quiz,"杉林溪海拔大約多少？","800公尺|1600公尺|2500公尺",1600公尺,
natural_culture,phoenix_valley_bird_park,鳳凰谷鳥園,南投縣鹿谷鄉仁義路1-9號,23.728611,120.791944,"導覽館,生態景觀,遊玩","飼養了來自世界各地及台灣本土的珍稀鳥類約300種。園區內有巨大的天羅地網鳥籠，遊客可進入其中觀察鳥類生態。","為什麼孔雀會開屏？",待補充,quiz,"為什麼孔雀會開屏？","天氣太熱，為了散熱|吸引配偶、嚇阻敵人|準備飛行前的暖身動作","吸引配偶、嚇阻敵人",
natural_culture,wuling,武嶺,南投縣仁愛鄉台14甲線31.5公里,24.136889,121.276111,生態景觀,"台灣公路的最高點，海拔3275公尺。設有觀景台，可遠眺奇萊山群與合歡山坡的箭竹草原，是觀日出、雲海、星空及冬季雪景的熱門地點。","武嶺是台灣公路的最高點，大約位於多少公尺？",待補充,quiz,"武嶺是台灣公路的最高點，大約位於多少公尺？","2,855 公尺|3,275 公尺|3,886 公尺","3,275 公尺",
natural_culture,qingjing_farm,清境農場,南投縣仁愛鄉大同村仁和路170號,24.058611,121.163889,"生態景觀,遊玩","海拔約1750公尺的高山農場，以其廣闊的草原、悠閒的羊群和壯麗的山景聞名。著名的「綿羊秀」和「馬術秀」是必看表演。","農場內最多的動物是什麼",待補充,quiz,"農場內最多的動物是什麼","牛|馬|羊",羊,
natural_culture,wujie_tribe,武界部落,南投縣仁愛鄉法治村,23.916694,121.046139,文化,"有「雲的故鄉」美名，是布農族卓社群的所在地。此地以武界壩的湖光山色、壯觀的雲海和一線天峽谷聞名，是結合自然美景與人文深度的秘境。","武界部落的武界是哪一族語言",https://upload.wikimedia.org/wikipedia/commons/1/14/Wujie_Overlook.jpg,quiz,"武界部落的武界是哪一族語言","泰雅族語|賽德克族語|布農族(Buqaiz)","布農族(Buqaiz)",
handicraft_culture,wujie_tribe,武界部落,待補充,23.915792484586145,121.04424996441752,待補充,"有「雲的故鄉」美名，是布農族卓社群的所在地。此地以武界壩的湖光山色、壯觀的雲海和一線天峽谷聞名，是結合自然美景與人文深度的秘境。","在地消費: 購買石板烤肉的任務，能直接促進當地觀光消費，讓遊戲為部落帶來實質的經濟效益。",https://upload.wikimedia.org/wikipedia/commons/1/14/Wujie_Overlook.jpg,verification,,,,CLOUDS
farm_food_sustainability,fongnian_mushroom_farm,豐年靈芝菇類生態農場,南投縣埔里鎮東潤路58號,23.943444,120.986333,"手作,文化,導覽館","擁有超過50年歷史，是台灣規模數一數二的食用菌種供應商。提供採菇體驗、多元DIY手作課程及免費生態導覽，適合親子共遊。","待補充",待補充,photo,,,
farm_food_sustainability,rose_garden,玫開四度食用玫瑰園,南投縣埔里鎮內埔路2-2號,23.940833,120.959667,"導覽館,文化,手作,體驗","台灣第一座採用自然農法栽培食用玫瑰的農場，不使用農藥和化學肥料。這裡是世界麵包冠軍吳寶春「荔枝玫瑰麵包」的玫瑰食材來源。","待補充",待補充,photo,,,
farm_food_sustainability,uncle_herb,香草大叔與男孩,南投縣埔里鎮中山路一段241-2號,23.943444,120.986333,"手作,導覽館,文化,體驗","由郭昱宏（阿宏老師）創立的農業體驗品牌，致力於推廣香草植物與友善環境的自然生活方式。提供香草辨識、種植、料理等體驗課程。","待補充",待補充,photo,,,
farm_food_sustainability,jiaobai_farm,最佳主茭腳白筍體驗農場,南投縣埔里鎮珠生路49號,23.940833,120.959667,"導覽館,遊玩","採友善無毒農耕法，並利用「筍魚共生」維持生態平衡。遊客可穿上青蛙裝下田親手採收茭白筍，並品嚐最新鮮的滋味。","筊白筍的最佳採收季節是什麼時候?",待補充,quiz,"筊白筍的最佳採收季節是什麼時候?","春季(約3~5月)|夏季(約6~8月)|秋季(約9~11月)","春季(約3~5月)",
farm_food_sustainability,guli_cooperative,穀笠合作社,南投縣埔里鎮籃城五巷6-1號,23.952833,120.9795,"導覽館,商店,體驗","由一群關心農業的年輕人創立，致力於實踐友善耕作，並串連在地小農。提供農村社區導覽、農事體驗及食農教育等深度旅遊。","穀笠合作社販售的產品最強調什麼特色?",待補充,quiz,"穀笠合作社販售的產品最強調什麼特色?","價格最低廉|進口稀有品種|在地小農生產、友善土地、支持永續農業","在地小農生產、友善土地、支持永續農業",
farm_food_sustainability,passion_fruit_farm,大坪頂百香果園,南投縣埔里鎮西安路三段259號,24.037694,120.925194,"導覽館,遊玩,體驗","台灣百香果的最大產地，產量佔全台九成以上。提供採果體驗、食農教育導覽，並可品嚐百香果相關產品。","埔里是台灣百香果重要產地，請問「埔里百香果」最大的特色是什麼?",待補充,quiz,"埔里是台灣百香果重要產地，請問「埔里百香果」最大的特色是什麼?","外皮金黃、果肉酸澀|外皮紫紅、果肉香甜|果實巨大、水分稀少","外皮紫紅、果肉香甜",
farm_food_sustainability,qixuan_farm,圻宣農場,南投縣埔里鎮枇杷里九成街58號,23.950556,120.981389,"體驗,商店","以獨特的紅土地質和有機農法聞名，主要種植台農二號木瓜。未來規劃開放採果體驗，讓消費者更深入了解食物的來源。","百香果有什麼營養價值?",待補充,quiz,"百香果有什麼營養價值?","蛋白質、脂肪|維他命C、膳食纖維|鈣、鐵","維他命C、膳食纖維",
farm_food_sustainability,guobao_farm,果寶歡酵有機樹葡萄農場,南投縣埔里鎮珠格里下湳巷15號,23.948944,120.984667,"體驗,手作","亞洲面積最大的網室有機嘉寶果（樹葡萄）農場，佔地達12公頃。提供季節限定的採果樂、多元手作DIY課程及酵素主題的觀光工廠導覽。","待補充",待補充,photo,,,
farm_food_sustainability,douzhigu_farm,豆之谷生態有機農場,南投縣埔里鎮中山路四段421號,23.973944,120.979694,"體驗,遊玩","以有機草莓聞名的觀光農場，種植多樣化草莓品種，包括罕見的「天使之淚」白草莓和「桃薰」草莓。採用溫室高架種植，採果環境舒適。","待補充",待補充,photo,,,
handicraft_culture,atayal_resort,泰雅渡假村,待補充,24.068377699985952,120.94328680905087,待補充,"位於國姓鄉，是一個整合泰雅文化、自然生態與休閒娛樂的主題園區。這裡有定期的文化表演和DIY活動，是體驗泰雅文化的絕佳場所。","DIY挑戰: 設計「文化體驗」與「DIY挑戰」任務，讓玩家從「觀賞者」變成「參與者」，透過親身模仿與動手製作，加深對泰雅文化的理解與記憶。",https://www.atayal.com.tw/themes/zh-tw/assets/images/welcome_01.jpg,photo,,,
indigenous_culture,atayal_resort,泰雅渡假村,南投縣國姓鄉北港村北原路56-2號,24.021,120.8676,遊玩,"位於國姓鄉，是一個整合泰雅文化、自然生態與休閒娛樂的主題園區。這裡有定期的文化表演和DIY活動，是體驗泰雅文化的絕佳場所。","泰雅族傳統織布常見菱形紋路，象徵「祖靈之眼」。請問他們相信這樣的圖案能帶來什麼功能或庇佑？",https://www.atayal.com.tw/themes/zh-tw/assets/images/welcome_01.jpg,quiz,"泰雅族傳統織布常見菱形紋路，象徵「祖靈之眼」。請問他們相信這樣的圖案能帶來什麼功能或庇佑？","帶來財富|保佑農作豐收|守護族人、驅邪避凶","守護族人、驅邪避凶。",
indigenous_culture,idathao_tribe,伊達邵部落(日月潭),南投縣魚池鄉日月村文化街,23.8647,120.9155,文化,"日月潭畔人口最密集的村落，也是邵族、泰雅族與漢族共居的聚落。可以逛老街品嚐在地小吃，或走在親水步道上欣賞湖景。","伊達邵部落的名稱「伊達邵」是因為日治時期改稱，原本的名字叫什麼？",待補充,quiz,"伊達邵部落的名稱「伊達邵」是因為日治時期改稱，原本的名字叫什麼？","水社（Shuisha）|頭社（Tousha）|巴塞窟（Pasikau）","巴塞窟（Pasikau）",
indigenous_culture,luona_tribe,羅娜部落,南投縣信義鄉羅娜村,23.6855,120.8653,文化,"台灣最大的布農族部落，四面環山，可以近距離欣賞玉山。聖誕節期間會舉辦盛大的慶祝活動，有「全台最大聖誕村」之稱。","布農族的八部合音（pasibutbut）被譽為「天籟之音」，請問它最初是用來祈求什麼？",待補充,quiz,"布農族的八部合音（pasibutbut）被譽為「天籟之音」，請問它最初是用來祈求什麼？","戰爭勝利|小米豐收|新生兒平安","小米豐收。",
indigenous_culture,qubing_tribe,曲冰部落,南投縣信義鄉久美村曲冰巷,23.6282,120.8881,文化,"台灣布農族分佈最北的一支，擁有豐富的自然景觀和深厚的文化底蘊。國家三級古蹟「曲冰遺址」即位於此地。","曲冰部落除了弓箭文化外，還保留布農族的什麼「家屋祭典」傳統，象徵族人聚會與傳承？",待補充,quiz,"曲冰部落除了弓箭文化外，還保留布農族的什麼「家屋祭典」傳統，象徵族人聚會與傳承？","播種祭|打耳祭|成年禮",打耳祭,
indigenous_culture,seediq_park,賽德克生態文化園區,南投縣仁愛鄉大同村仁和路29號,24.0417,121.1715,導覽館,"由東岸與中原等部落共同推動的區域性生態與文化體驗場域。此地曾是土石流災區，如今已蛻變為展現賽德克族Gaya精神的重生之地。","賽德克族在霧社事件後被迫分散到不同部落，清流部落是其中之一，請問當時日本政府將這些人遷移的目的為何？",待補充,quiz,"賽德克族在霧社事件後被迫分散到不同部落，清流部落是其中之一，請問當時日本政府將這些人遷移的目的為何？","方便提供教育資源|改善部落醫療環境|監控、削弱族群凝聚力，防止再度反抗。","監控、削弱族群凝聚力，防止再度反抗。",
indigenous_culture,wangxiang_tribe,望鄉部落文化展示館,南投縣信義鄉望美村望鄉巷,23.6814,120.9027,導覽館,"位於海拔近900公尺的高山台地，是全台灣欣賞玉山群峰視野最佳的地點之一，素有「開門見玉山」的美名。","望鄉部落的布農族人以打獵文化著名，請問布農族狩獵儀式中的「射耳祭」主要訓練的是什麼？",待補充,quiz,"望鄉部落的布農族人以打獵文化著名，請問布農族狩獵儀式中的「射耳祭」主要訓練的是什麼？","長輩的智慧傳承|青年勇氣與射箭技術|團隊合作精神","青年勇氣與射箭技術。",
indigenous_culture,shuanglong_waterfall,雙龍瀑布口–布農族雕刻廣場,南投縣信義鄉光復巷79號,23.6296,120.8615,文化,"結合了壯麗自然景觀與豐富布農族文化的旅遊勝地。核心景點為雙龍瀑布，以及全台最長最深的雙龍瀑布七彩吊橋。","雙龍瀑布在布農族語中稱為「Taki-Tudu」，意思是什麼？",待補充,quiz,"雙龍瀑布在布農族語中稱為「Taki-Tudu」，意思是什麼？","神聖的領域|彩虹的故鄉|重疊的水流","重疊的水流。",
indigenous_culture,renai_seediq_station,仁愛鄉賽德克族文化健康站,南投縣仁愛鄉大同村仁和路88號,24.024,121.136,導覽館,"此為社區服務據點，非正式景點。但仁愛鄉是體驗賽德克族文化的核心區，可探訪清流部落、眉溪部落等，深入了解賽德克文化。","賽德克族人傳統上會在臉上紋面，象徵成年與榮譽。請問女性要完成什麼條件才能紋面？",待補充,quiz,"賽德克族人傳統上會在臉上紋面，象徵成年與榮譽。請問女性要完成什麼條件才能紋面？","獵得首級|通過歌唱考驗|學會織布","學會織布。",
handicraft_culture,cijing,清境農場周邊部落,待補充,24.03419878283817,121.16023317696795,待補充,"位於南投仁愛鄉，是賽德克族的重要聚居地。除了知名的清境農場，周邊的部落如博望新村、春陽部落保留了豐富的賽德克文化與歷史軌跡。","打卡任務: 在部落入口的特色牌樓或圖騰前拍照，上傳照片以完成任務。",https://syatour.blog/wp-content/uploads/xuite/18804fe/5078229/1182473001_o.jpg,photo,,,
handicraft_culture,wushe,霧社事件紀念公園,待補充,24.020534565829664,121.13260097280227,待補充,"為紀念1930年霧社事件而建，是台灣原住民反抗日本殖民統治最重要的歷史地標，園區內有莫那魯道紀念碑、抗日群像等。","歷史問答：霧社事件發生於西元幾年？",https://tcmbdata.culture.tw/api/collection/image/Culture_Place?uid=618664,quiz,"霧社事件發生於西元幾年？","1920|1930|1945",1930,
handicraft_culture,lushan,廬山溫泉部落,待補充,24.02384430840503,121.1889637317114,待補充,"此地為霧社事件領導者莫那魯道的故鄉——馬赫坡社(Mahebo)舊址。雖然現今溫泉業已不如以往，但其歷史連結性與周邊的吊橋、溪谷景觀，使其成為一個充滿故事性的地點。","尋寶任務: 設計成「尋寶任務」，要求玩家在特定範圍內(如廬山吊橋)尋找特定文化符號，目的是鼓勵玩家探索整個區域，發掘隱藏在細節中的歷史痕跡。",https://upload.wikimedia.org/wikipedia/commons/2/20/%E5%8F%B0%E7%81%A3%E5%BB%AC%E5%B1%B1.JPG,photo,,,
handicraft_culture,qubing,曲冰遺址,待補充,23.95623368517869,121.07988497109066,待補充,"位於仁愛鄉萬豐村，是台灣首次發現、面積最大的高山史前聚落遺址，以布農族的石板屋結構為特色，是了解台灣史前文化的重要窗口。","扮演「考古學家」的角色，讓玩家根據照片尋找特定的建築細節，這種任務設計能引導他們從宏觀的石堆中，學會欣賞史前人類的建築智慧與工藝。",https://museum.sinica.edu.tw/_upload/custom/38159c0bcee90897.jpg,photo,,,
handicraft_culture,qinai,親愛部落,待補充,23.968495162619167,121.10831602195961,待補充,"以培育原住民孩子的「親愛愛樂」弦樂團而聞名全國。這個賽德克部落成功地將古典音樂與自身文化結合，創造了感動人心的故事。","問答題：創辦「親愛愛樂」的老師是哪兩位？",https://explorethesun.tw/upload/files/%E6%97%85%E9%81%8A%E7%AF%87/%E5%B0%8F%E6%8F%90%E7%90%B4%E9%9F%B3%E6%A8%82%E6%9D%91-%E8%A6%AA%E6%84%9B%E6%9D%91/%E4%B8%AD_%E5%B0%8F%E6%8F%90%E7%90%B4%E9%9F%B3%E6%A8%82%E6%9D%91_%E8%A6%AA%E6%84%9B%E6%9D%91%20(1).jpg,quiz,"創辦「親愛愛樂」的老師是哪兩位？","陳 heut及王子建|張永青及陳佩文|葉姿蘭及洪濬哲","陳 heut及王子建",
handicraft_culture,zhongyuan,瑞岩部落,待補充,24.124615797864564,121.15866054786022,待補充,"位於仁愛鄉發祥村，被認為是泰雅族的發源聖地之一，擁有深厚的部落歷史與傳統。部落內的瑞岩溫泉也是一大特色。","尋根之旅: 設計「尋根之旅」的任務，引導玩家去尋找並閱讀記載起源故事的解說牌，能強化此地的歷史意義，並讓玩家在遊戲過程中感受到文化的傳承。",https://storage.googleapis.com/stateless-ourtrails/2020/01/f709883d-pic-ruiyan-25.jpg,photo,,,
handicraft_culture,craft_center,國立臺灣工藝研究發展中心,待補充,23.980583448616933,120.69095993390164,待補充,"台灣工藝推廣核心，含木藝、漆藝、竹藝、金工、玻璃等展示與體驗，並有旅物・SHOP販售原創設計工藝品。","「五材大對決」: 參觀展館後，參與指定體驗(如木工拼圖)，並回答材質應用的小測驗，即可解鎖五材徽章。",https://tcdbdata.ntcri.gov.tw/upload/image/2022-07-20/a4780e76-19aa-483c-b373-f93f66820a40/%E8%87%BA%E7%81%A3%E5%B7%A5%E8%97%9D%E6%96%87%E5%8C%96%E5%9C%92%E5%8D%80.jpg,quiz,"請問以下何者不是台灣常見的工藝材質？","竹|木|鑽石",鑽石,
handicraft_culture,meiyan_lacquer,美研漆藝工坊,待補充,23.982984160435933,120.68463040112887,待補充,"位於草屯鎮的傳統漆器工坊，專精蒔繪、脫胎、螺鈿等漆藝工法。","「蒔繪體驗任務」: 參與「漆藝鑰匙圈」或「螺鈿小盤」DIY，需在製作中辨認工具名稱並上傳「完成品照+簽名標籤」至APP。",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYg3gk99T8q6Q-pDWqFdObkSLkTOtjtIKu5w&s,photo,,,
handicraft_culture,snake_kiln,水里蛇窯陶藝文化園區,待補充,23.80112653111175,120.8648316079422,待補充,"台灣現存最古老的柴燒蛇窯之一，提供陶藝體驗與導覽，是體驗陶土藝術的絕佳地點。","「拉胚挑戰賽」: 玩家參與拉胚/手捏陶體驗課程，完成後輸入體驗編號並拍下「創作品與窯前合照」，即可解鎖柴燒之魂獎章。",https://travel.nantou.gov.tw/wp-content/uploads/google_map_photos/46904/2.jpg?1634689126,verification,,,,KILN888
handicraft_culture,guangxing_paper,廣興紙寮,待補充,23.976264173308405,120.93869882467996,待補充,"位於埔里，保留傳統抄紙技術，兼具環保理念與觀光造紙體驗的工廠。","「紙印探險家」: 體驗傳統抄紙後，用自己製作的紙拓印APP提供的「在地工藝印章」，拓印圖像上傳後完成任務。",https://travel.nantou.gov.tw/wp-content/uploads/google_map_photos/47243/1.jpg?1634689153,photo,,,
handicraft_culture,xuyuming_lacquer,龍南天然漆博物館,待補充,23.968016215413463,120.9657471001591,待補充,"位於埔里的資深漆藝師傅工藝之家，專注於蒔繪、脫胎漆器。","「金粉蒔繪術」: 選擇製作「小漆盒」或「漆畫鑰匙牌」，APP中會出現互動教學動畫，完成後回傳照片與一段自我命名的「作品標題」。",https://itscindy.home.blog/wp-content/uploads/2021/03/dsc_0467.jpg,photo,,,
handicraft_culture,yuantai_bamboo,元泰竹藝社,待補充,23.753835649298782,120.68333689093261,待補充,"位於竹山鎮的在地竹藝品牌，專注於手工竹編、家飾與生活用品製作。","「竹紋解碼任務」: 完成簡易竹編體驗(如杯墊、筆筒)後，需觀察作品上的編織紋樣，輸入指定紋路名稱解鎖任務。",https://event.cw.com.tw/smiletaiwan/42th/group5/tai02.jpg,verification,,,,BAMBOO
handicraft_culture,liuligong,芳仕璐昂琉璃藝術館,待補充,23.76060806729584,120.67883015623268,待補充,"位於竹山鎮，將琉璃玻璃藝術與繪畫技法結合，具現代與工藝融合特色。","「玻璃拼畫師」: 參加玻璃彩繪DIY課程，完成後掃描體驗作品上的QR碼，解鎖藝術家故事與色彩心理測驗。",https://www.fs-glass.com.tw/pic/2296/photo/60407MWVhMzdh.png,verification,,,,GLASSART
handicraft_culture,hyaku_yama,hyaku yama ° 古道具店,待補充,23.96741498303542,120.68263883959376,待補充,"位於竹山鎮，是結合古道具、工藝與茶文化的複合式展售空間。","「舊物再生任務」: 店內提供「舊道具微改造體驗」，如重新布置茶具架、藍染布包裝小物，完成後上傳改造前後的對比照。",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQan7Ti1iMKKJL8jTHoydCa_3SzSoI9DjPJYQ&s,photo,,,
handicraft_culture,akun_lemongrass,阿坤香茅工坊,待補充,24.061336042336155,120.8923211387586,待補充,"位於國姓鄉，由香茅農場轉型成的工坊，製作香茅皂、擴香等天然香草產品。","「香草小配方」: 體驗「香茅防蚊膏」、「天然手工皂」或「香氛擴香石」DIY，玩家需選出合適材料並簡述「我的香味主題」。","https://scontent.frmq2-1.fna.fbcdn.net/v/t39.30808-6/480793754_3531064083868179_4736602933442005002_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=2ljpPfZsnp0Q7kNvwENg70x&_nc_oc=AdmaKOH4vjZH2cK5VYfzMQImVNvgOnVhi9IpgkrpqX6NEQ3beLjU3wWerYL8qdyNPlA&_nc_zt=23&_nc_ht=scontent.frmq2-1.fna&_nc_gid=YclC0kqw884UhrEFietNBg&oh=00_AfPMsgp4Xa3pJhV3OXDmYMDxBmuyLO0eOUfcZ2iW9aA-YQ&oe=685374A7",photo,,,
handicraft_culture,craft_market,工藝市集(草屯工藝中心旁),待補充,23.98067259643174,120.69110079853942,待補充,"不定期於草屯工藝中心舉辦，匯集全台工藝師與青年品牌的創意商品展售。","「雙項工藝王」: 活動期間參與兩項DIY手作(如木刻鑰匙圈+草染手帕)，完成後自選1項作品上傳到APP並分享創作靈感獲得獎勵。",https://img.jatraveling.tw/2023/10/20231011204156_17.jpg,photo,,,